what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306596377334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306596385308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306596398715
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306596405985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596408170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596412209
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306596413002
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1306596530796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306596531169
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306596532352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596533644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596536844
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306596537617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306596537629
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306596541514
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306596542825
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1306596543846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1306596549322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1306596550295
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306596574516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306596578617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596580418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596580448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596588811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596588878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306596589065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306596589069
